sample_id,se1_date,village,zone,tapstand_code,se1_time,se1_frc,se1_trc,se1_turb,se1_airtemp,se1_wattemp,se1_cond,se1_ph,resp_consent,sa_cont,sa_cover,sa_clean,sa_opacity,sa_colour,se2_time,se2_frc,se2_trc,se2_turb,se2_wattemp,se2_cond,se2_ph,hh_steps,hh_minutes,se3_time,se3_frc,se3_trc,se3_turb,se3_wattemp,se3_cond,se3_ph,se4_time,se4_date,timelapse4,se4_frc,se4_trc,se4_turb,se4_airtemp,se4_wattemp,se4_cond,se4_ph,sb_watertransfer,sb_watermix,sb_waterused,sb_waterleft,sb_drawing,sb_cont,sb_cover,sb_clean,sb_opacity,sb_colour,sb_inout,sb_sunshade,,,,,,,,,,,,,,,
26,3/22/15,3,15,3,9:30,0.72,0.67,0.84,15.5,17.0,803,7.07,1,2,1,1,1,1,9:40,0.61,0.58,1.08,15.9,813,7.28,130,2.0,9:50,0.63,0.63,0.74,16.5,795,6.97,15:40,3/22/15,6:10,0.49,0.49,0.45,16.6,16.1,876,7.10,0,0,0,1.00,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
27,3/22/15,3,15,3,10:05,0.63,0.62,0.84,13.3,16.4,823,7.00,1,1,1,1,1,1,10:15,0.57,0.56,1.99,16.6,1106,7.31,140,2.0,10:25,0.52,0.52,1.90,17.7,1102,7.35,,3/22/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3/23/15,3,16,6,8:25,0.71,0.72,,11.8,18.3,1094,7.58,1,1,1,1,1,1,8:40,0.61,0.64,,18.4,1083,7.50,240,3.0,8:50,0.44,0.44,,18.0,1101,7.48,15:20,3/23/15,6:55,0.54,0.54,,18.2,21.5,1094,7.60,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
29,3/23/15,3,16,6,9:05,0.70,0.73,,18.0,18.5,1086,7.56,1,1,1,2,1,1,9:15,0.65,0.65,,19.4,1080,7.48,120,2.0,9:25,0.65,0.65,,19.6,1088,7.68,15:35,3/23/15,6:30,0.51,0.51,,19.4,19.2,1100,7.42,0,0,0,1.00,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,
30,3/23/15,3,16,6,9:40,0.73,0.72,,19.8,19.2,1077,7.58,1,3,1,1,1,1,9:50,0.67,0.67,,19.1,1098,7.40,130,2.0,10:00,0.63,0.62,,18.6,1106,7.54,15:10,3/23/15,5:30,0.60,0.58,,24.1,20.1,1087,7.70,0,0,0,1.00,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,
31,3/23/15,3,16,6,10:25,0.74,0.71,,18.3,19.1,1090,7.49,1,1,1,1,1,1,10:35,0.67,0.71,,19.8,1095,7.55,100,1.0,10:45,0.54,0.52,,19.7,1090,7.65,15:45,3/23/15,5:20,0.53,0.55,,19.5,18.9,1090,7.66,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
32,3/23/15,3,16,6,8:25,0.65,0.65,0.84,13.8,17.7,1031,7.79,1,1,1,1,1,1,8:30,0.64,0.60,1.08,17.6,1037,7.75,224,5.0,9:00,0.60,0.69,0.37,18.5,811,7.76,15:10,3/23/15,6:45,0.30,0.27,0.61,20.2,18.6,531,7.80,0,0,1,0.10,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
33,3/23/15,3,16,6,9:30,0.57,0.57,0.30,16.6,17.9,1086,7.68,1,1,0,1,1,1,9:40,0.57,0.62,0.67,18.5,1076,7.74,47,1.0,9:50,,,0.49,18.0,1072,7.71,15:25,3/23/15,5:55,0.50,0.48,0.19,20.3,18.6,912,7.80,0,0,1,0.50,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,
34,3/23/15,3,16,6,10:10,0.63,0.70,0.77,15.6,18.3,1076,7.74,1,1,1,1,1,1,10:15,0.65,0.52,0.18,18.2,1092,7.59,362,3.0,10:25,0.52,0.55,0.27,18.1,1095,7.68,15:35,3/23/15,5:25,0.45,0.46,4.94,21.2,17.8,1054,7.82,0,0,1,0.30,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
38,3/24/15,3,18,9,8:25,0.66,0.67,,14.9,17.6,1194,8.00,1,1,0,2,1,1,8:35,0.63,0.65,,17.6,1225,7.94,200,3.0,8:45,0.62,0.63,,19.0,959,7.88,15:15,3/24/15,6:50,0.59,0.60,,23.6,21.3,1263,8.17,0,0,0,1.00,1,1,0,2,1,1,1,1,,,,,,,,,,,,,,,
39,3/24/15,3,18,9,9:00,0.68,0.68,,18.6,18.9,1290,7.88,1,1,1,1,1,1,9:10,0.48,0.45,,19.4,1235,7.87,120,2.0,9:20,0.57,0.56,,19.0,1244,7.88,15:25,3/24/15,6:25,0.49,0.51,,22.0,20.3,912,8.12,0,0,1,0.90,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
40,3/24/15,3,18,9,9:30,0.69,0.72,,17.8,18.5,1285,7.79,1,3,1,1,1,1,9:40,0.70,0.70,,18.2,1276,7.90,100,1.0,9:50,0.68,0.68,,19.0,1290,7.82,15:35,3/24/15,6:05,0.21,0.22,,20.4,23.1,1292,8.00,0,0,0,1.00,1,3,1,1,1,1,0,1,,,,,,,,,,,,,,,
41,3/24/15,3,18,9,10:05,0.70,0.70,,17.8,18.8,995,7.78,1,1,1,1,1,1,10:15,0.65,0.65,,19.6,1002,7.83,110,1.0,10:25,0.65,0.65,,18.2,989,7.73,,3/24/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,3/25/15,3,7,1,8:15,0.66,0.68,0.10,15.2,20.1,1926,7.88,1,1,1,1,1,1,8:25,0.47,0.46,0.31,20.9,1501,7.82,200,3.0,8:35,0.42,0.44,0.29,21.3,1560,7.75,15:10,3/25/15,6:55,0.13,0.11,0.72,25.1,27.1,1657,7.64,1,0,1,0.50,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
43,3/25/15,3,7,1,9:15,0.64,0.66,1.04,21.7,21.9,1503,7.77,1,1,1,2,1,1,9:30,0.62,0.65,0.10,22.2,1499,7.83,175,2.0,9:40,0.56,0.58,0.37,21.7,1502,7.72,15:25,3/25/15,6:10,0.36,0.36,0.80,22.9,22.8,1520,7.79,1,0,1,0.50,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,
44,3/25/15,3,7,1,9:50,0.52,0.58,1.67,20.8,21.4,1024,7.62,1,1,1,2,1,1,10:00,0.48,0.49,0.58,21.6,1060,7.55,157,2.0,10:10,0.53,0.52,0.68,22.4,1066,7.70,15:40,3/25/15,5:50,0.32,0.35,1.28,24.9,22.8,1082,7.73,0,0,1,0.10,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,
45,3/25/15,3,7,1,10:30,0.58,0.62,1.50,23.1,21.8,1153,,1,1,0,1,1,1,10:37,0.46,0.55,0.16,21.6,,7.81,35,1.0,10:47,0.55,0.52,0.01,23.1,1159,7.75,15:50,3/25/15,5:20,0.02,0.06,1.18,23.1,28.4,1189,7.65,0,0,1,0.20,1,1,0,1,1,1,0,0,,,,,,,,,,,,,,,
46,3/25/15,3,7,1,8:20,0.71,0.73,,15.5,20.8,1539,8.05,1,2,1,1,1,1,8:35,0.43,0.46,,19.9,1506,8.06,170,2.0,8:45,0.65,0.65,,20.1,1500,8.04,,3/25/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3/25/15,3,7,1,9:00,0.71,0.74,,17.7,20.9,1522,7.98,1,3,0,1,1,1,9:10,0.34,0.37,,21.5,1540,8.02,150,2.0,9:20,0.64,0.65,,20.6,1520,8.00,15:10,3/25/15,6:10,0.16,0.16,0.40,24.1,26.5,1507,7.85,0,0,0,1.00,1,3,1,1,1,1,0,0,,,,,,,,,,,,,,,
48,3/25/15,3,7,1,9:30,0.67,0.67,,16.3,21.2,1402,7.99,1,1,1,1,1,1,9:40,0.55,0.55,,20.8,1525,8.05,230,3.0,9:50,0.47,0.48,,21.2,1515,8.05,,3/25/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3/25/15,3,7,1,10:00,0.64,0.64,,19.8,21.5,1062,7.90,1,1,1,1,1,1,10:15,0.59,0.60,,22.6,1148,8.02,180,2.0,10:25,0.52,0.52,,20.7,1129,7.95,15:20,3/25/15,5:20,0.12,0.12,0.57,22.1,27.5,1142,7.74,0,0,0,1.00,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
50,3/26/15,3,8,4,8:30,0.65,0.64,0.64,15.6,20.4,966,7.62,1,1,1,1,1,1,8:40,0.64,0.66,0.23,20.6,949,7.51,142,1.0,8:50,0.67,0.65,0.20,20.8,978,7.40,15:09,3/26/15,6:39,0.09,0.06,0.78,27.9,31.5,966,7.55,0,0,0,1.00,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
51,3/26/15,3,8,4,9:05,0.66,0.67,0.51,17.5,20.7,952,7.48,1,1,1,2,1,1,9:15,0.67,0.66,0.42,21.0,946,7.49,122,3.0,9:25,0.57,0.57,0.21,22.0,949,7.46,15:25,3/26/15,6:20,0.23,0.23,0.50,25.4,25.9,952,7.53,0,0,0,1.00,1,1,1,2,1,1,0,1,,,,,,,,,,,,,,,
52,3/26/15,3,8,4,9:40,0.71,0.75,0.93,17.9,21.3,945,7.47,1,1,1,1,1,1,9:55,0.65,0.69,0.01,22.0,943,7.26,135,1.0,10:05,0.58,0.66,0.41,22.0,947,7.33,16:10,3/26/15,6:30,0.19,0.16,0.24,21.2,23.1,941,7.47,0,0,0,1.00,1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,
53,3/26/15,3,8,4,10:10,0.67,0.67,0.50,20.0,22.1,947,7.41,1,1,1,2,1,1,10:20,0.66,0.57,0.40,22.7,946,7.28,240,2.0,10:30,0.47,0.51,0.46,22.5,944,7.42,16:00,3/26/15,5:50,0.52,0.53,0.25,23.3,20.9,945,7.64,0,0,1,0.50,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,
54,3/26/15,3,8,4,8:30,0.66,0.67,0.93,14.5,20.3,955,7.63,1,1,1,1,1,1,8:40,0.55,0.58,0.93,20.9,944,7.53,160,2.0,8:50,0.59,0.59,1.30,20.6,930,7.48,15:10,3/26/15,6:40,0.12,0.12,0.63,21.8,22.8,939,7.74,0,0,1,0.20,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
55,3/26/15,3,8,4,9:00,0.67,0.69,0.47,16.1,21.6,922,7.52,1,2,1,1,1,1,9:10,0.62,0.61,0.16,20.6,887,7.72,180,2.0,9:20,0.46,0.48,0.74,18.9,935,7.60,15:25,3/26/15,6:25,0.26,0.25,0.38,21.2,21.7,950,7.68,0,0,0,1.00,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
56,3/26/15,3,8,4,9:30,0.66,0.66,0.40,20.1,21.5,928,7.67,1,3,1,1,1,1,9:40,0.68,0.67,0.32,21.8,946,7.64,200,2.0,9:50,0.54,0.54,1.69,21.2,937,7.60,15:35,3/26/15,6:05,0.27,0.28,0.17,20.5,22.0,936,7.75,0,0,0,1.00,1,3,1,1,1,1,1,1,,,,,,,,,,,,,,,
57,3/26/15,3,8,4,10:00,0.67,0.68,0.70,18.7,21.8,935,7.54,1,1,1,1,1,1,10:10,0.68,0.69,0.82,21.6,932,7.55,210,3.0,10:25,0.65,0.64,0.89,22.2,940,7.51,15:45,3/26/15,5:45,0.56,0.55,0.91,19.9,22.0,927,7.63,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
58,3/30/15,6,3,7,8:35,0.73,0.77,0.14,14.4,18.0,1672,7.89,1,1,0,2,1,1,8:45,0.77,0.76,0.76,17.8,1671,7.80,52,1.0,8:55,0.72,0.74,0.03,18.3,1841,7.45,15:25,3/30/15,6:50,0.55,0.57,0.51,20.6,19.1,1816,7.86,0,0,0,1.00,1,1,0,2,1,1,1,1,,,,,,,,,,,,,,,
59,3/30/15,6,3,7,9:07,0.92,0.94,0.01,17.2,18.2,1685,7.65,1,1,0,2,1,1,9:15,0.74,0.70,0.37,18.3,1671,7.31,52,1.0,9:25,0.68,0.70,0.98,18.9,1729,7.75,15:10,3/30/15,6:03,0.04,0.09,1.63,21.3,18.7,2706,8.02,1,0,1,0.20,1,1,0,2,1,1,1,1,,,,,,,,,,,,,,,
60,3/30/15,6,3,7,9:45,0.73,0.71,0.01,16.7,18.3,1680,7.73,1,1,1,1,1,1,9:55,0.72,0.60,0.04,18.7,1665,7.67,152,2.0,10:00,0.46,0.45,0.01,19.5,1692,7.56,15:40,3/30/15,5:55,0.38,,0.52,21.5,19.4,1801,7.84,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
61,3/30/15,6,3,7,10:10,0.98,0.91,0.01,17.7,18.4,1708,7.57,1,1,1,1,1,1,10:15,0.63,0.58,0.48,18.7,1675,7.66,153,2.0,10:25,0.61,0.63,0.26,19.2,1683,7.56,15:50,3/30/15,5:40,0.65,0.64,0.28,18.4,19.3,1635,7.87,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
62,3/29/15,6,3,7,3/29/15 8:35,0.70,0.74,1.56,16.7,18.2,889,7.93,1,2,1,1,1,1,3/29/15 8:45,0.64,0.62,0.09,18.6,881,7.71,90,1.0,3/29/15 8:55,0.49,0.50,0.04,18.3,883,7.65,3/30/15 10:10,3/30/15,25:35:00,0.33,0.33,0.01,16.4,18.9,881,7.78,0,0,1,0.50,1,2,0,1,1,1,0,1,,,,,,,,,,,,,,,
63,3/30/15,6,3,J8/7,3/30/15 8:30,0.80,0.80,0.89,13.8,17.2,1696,8.09,1,1,1,1,1,1,3/30/15 8:40,0.73,0.75,0.31,17.5,1632,8.04,100,1.0,3/30/15 8:50,0.84,0.80,0.47,17.5,1644,7.97,3/31/15 10:05,3/31/15,25:35:00,0.66,0.66,0.49,12.6,14.1,1627,7.70,0,0,1,0.10,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
64,3/30/15,6,3,7,3/30/15 9:00,0.80,0.82,0.11,15.6,18.1,1624,7.92,1,1,1,2,1,1,3/30/15 9:20,0.81,0.90,0.70,18.7,1657,7.90,140,2.0,3/30/15 9:30,0.73,0.73,0.22,18.1,1656,7.90,3/31/15 9:55,3/31/15,24:55:00,0.34,0.35,0.14,13.2,12.5,1640,7.85,0,0,1,0.70,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,
65,3/30/15,6,3,7,3/30/15 9:40,0.82,0.82,0.03,16.5,18.6,1655,7.89,1,2,1,1,1,1,3/30/15 9:50,0.81,0.81,0.01,18.3,1652,7.97,150,2.0,3/30/15 10:00,0.73,0.72,0.05,17.9,1654,7.97,3/31/15 9:50,3/31/15,24:10:00,0.55,0.55,0.01,14.8,14.1,1632,7.42,0,0,0,1.00,1,2,1,1,1,1,0,1,,,,,,,,,,,,,,,
66,3/30/15,6,3,7,3/30/15 15:05,0.84,0.85,2.29,16.1,18.8,952,7.03,1,3,0,2,1,1,3/30/15 15:15,0.66,0.68,7.51,18.9,951,7.29,100,1.0,3/30/15 15:25,0.67,0.67,7.15,19.1,950,7.32,3/31/15 10:15,3/31/15,19:10:00,0.55,0.53,4.13,13.8,14.5,958,7.85,0,0,0,1.00,1,3,0,2,1,1,1,1,,,,,,,,,,,,,,,
67,3/31/15,6,6,6,8:35,0.74,0.67,0.66,14.4,17.7,1257,7.58,1,1,0,1,1,1,9:00,0.72,0.72,0.68,19.2,1166,7.55,50,1.0,9:10,0.77,0.73,0.73,18.2,1140,7.56,15:10,3/31/15,6:35,0.50,0.52,1.13,27.2,21.1,1133,7.82,0,0,1,0.50,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
68,3/31/15,6,6,6,9:10,0.86,0.85,2.87,18.7,18.5,1172,7.59,1,1,1,1,1,1,9:15,0.63,0.63,0.08,18.3,1122,7.16,50,1.0,9:25,0.48,0.46,0.25,18.5,1201,7.53,15:40,3/31/15,6:30,0.55,0.55,1.53,22.2,20.2,1135,7.69,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
69,3/31/15,6,6,6,9:55,0.72,0.72,0.32,17.9,18.8,1125,7.44,1,1,1,1,1,1,10:00,0.49,0.46,0.86,20.1,1126,7.27,100,2.0,10:10,0.47,0.46,0.18,19.2,1132,7.41,16:03,3/31/15,6:08,0.06,0.04,1.44,20.8,27.7,563,7.50,0,0,0,1.00,1,1,1,1,1,1,0,0,,,,,,,,,,,,,,,
70,3/31/15,6,6,6,10:20,0.81,0.81,0.22,19.7,19.8,1131,7.44,1,1,0,2,1,1,10:25,0.78,0.75,0.62,19.6,1130,7.36,80,2.0,10:32,0.71,0.71,0.58,20.6,1135,7.49,15:50,3/31/15,5:30,0.54,0.54,0.66,19.8,20.7,1125,7.66,0,0,0,1.00,1,1,0,2,1,1,1,1,,,,,,,,,,,,,,,
71,3/31/15,6,6,6,3/31/15 8:30,1.03,0.74,1.07,15.5,17.6,1162,7.67,1,1,0,2,1,1,3/31/15 8:45,0.85,0.75,0.24,18.3,1131,7.62,75,1.0,3/31/15 8:50,0.83,0.75,0.14,18.4,1124,7.47,4/1/15 10:20,4/1/15,25:50:00,0.75,0.75,0.11,14.7,14.8,1119,7.55,0,0,0,1.00,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,
72,3/31/15,6,6,6,3/31/15 8:55,0.84,0.85,0.24,15.1,18.2,1122,7.63,1,1,1,1,1,1,3/31/15 9:05,0.85,0.86,0.84,18.1,1114,7.64,120,1.0,3/31/15 9:15,0.73,0.75,0.47,17.7,1124,7.66,4/1/15 10:10,4/1/15,25:15:00,0.65,0.63,0.51,13.7,15.4,1121,7.39,0,0,1,0.10,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
73,3/31/15,6,6,6,3/31/15 9:25,0.80,0.82,0.53,16.2,18.6,1127,7.51,1,1,1,1,1,1,3/31/15 9:30,0.83,0.83,0.69,18.2,1123,7.68,210,2.0,3/31/15 9:40,0.75,0.77,0.84,18.4,1122,7.75,4/1/15 9:45,4/1/15,24:20:00,0.64,0.65,0.47,14.6,14.9,1116,7.38,0,0,1,0.20,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
74,3/31/15,6,6,6,3/31/15 15:10,0.76,0.78,0.94,18.6,20.5,839,7.72,1,1,1,1,1,1,3/31/15 15:20,0.78,0.76,3.88,21.1,689,7.55,120,1.0,3/31/15 15:30,0.71,0.72,3.50,20.7,694,7.43,4/1/15 9:55,4/1/15,18:45:00,0.69,0.70,2.48,14.1,14.9,684,7.51,0,0,1,0.50,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
75,3/31/15,6,6,6,3/31/15 15:40,0.76,,1.13,21.4,21.1,677,7.46,1,3,0,1,1,1,3/31/15 15:50,0.73,0.71,0.80,20.5,689,7.46,100,1.0,3/31/15 16:00,0.68,0.66,0.57,21.2,697,7.36,4/1/15 10:05,4/1/15,18:25:00,0.54,0.55,0.26,13.8,14.6,686,7.20,0,0,1,0.60,1,3,0,1,1,1,1,1,,,,,,,,,,,,,,,
76,4/1/15,6,9,5,4/1/15 8:25,0.89,0.90,0.78,14.2,17.7,683,7.70,1,1,1,1,1,1,4/1/15 8:40,0.67,0.65,2.12,18.3,682,7.50,80,1.0,4/1/15 8:50,0.58,0.57,1.94,18.2,681,7.33,4/2/15 10:05,4/2/15,25:40:00,0.39,0.39,1.96,14.9,14.4,676,7.41,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
77,4/1/15,6,9,5,4/1/15 9:00,0.64,0.66,0.41,14.3,17.6,676,7.41,1,2,1,1,1,1,4/1/15 9:10,0.60,0.60,0.66,18.1,691,7.54,35,1.0,4/1/15 9:15,0.57,0.53,0.65,17.7,695,7.30,4/2/15 9:55,4/2/15,24:55:00,0.55,0.56,0.66,19.6,14.6,698,7.57,0,0,0,1.00,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
78,4/1/15,6,9,5,4/1/15 9:25,0.67,0.63,0.18,12.8,17.7,675,7.41,1,2,1,1,1,1,4/1/15 9:30,0.64,0.60,0.49,17.5,679,7.30,225,3.0,4/1/15 9:40,0.48,0.44,0.22,17.4,681,7.15,4/2/15 10:30,4/2/15,25:05:00,0.46,0.46,0.15,14.9,14.6,682,7.27,0,0,0,1.00,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
79,4/1/15,6,9,5,4/1/15 15:15,0.67,0.69,1.97,19.5,19.9,680,7.80,1,3,1,2,1,1,4/1/15 15:25,0.67,0.68,3.48,20.1,627,7.58,100,1.0,4/1/15 15:35,0.65,0.65,3.90,19.9,684,7.43,4/2/15 10:15,4/2/15,19:00:00,0.48,0.49,2.95,13.8,14.3,688,7.14,0,0,1,0.50,1,3,1,2,1,1,1,1,,,,,,,,,,,,,,,
80,4/1/15,6,9,5,4/1/15 15:50,1.04,1.03,1.20,19.2,20.1,798,7.44,1,2,1,1,1,1,4/1/15 15:55,0.84,0.84,0.69,19.6,805,7.56,190,2.0,4/1/15 16:05,0.85,0.85,0.57,20.8,809,7.34,4/2/15 10:25,4/2/15,18:35:00,0.73,0.73,0.30,15.0,15.7,796,7.30,0,0,0,1.00,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,
81,4/1/15,6,9,5,4/1/15 8:27,0.64,0.68,0.60,14.2,17.7,1255,7.70,1,1,1,1,1,1,4/1/15 8:50,0.78,0.81,1.22,18.2,691,7.49,133,2.0,4/1/15 9:00,0.78,0.79,0.98,18.2,820,7.32,4/1/15 15:40,4/1/15,7:13:00,0.69,0.69,1.06,20.3,18.9,690,7.61,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
82,4/1/15,6,9,5,4/1/15 9:02,0.72,0.68,0.17,15.2,17.6,777,7.24,1,1,1,1,1,1,4/1/15 9:10,0.67,0.66,1.39,17.2,694,7.46,133,2.0,4/1/15 9:20,0.65,0.64,0.56,17.9,700,7.44,4/1/15 15:45,4/1/15,6:43:00,0.53,0.57,0.25,18.8,18.4,689,7.53,0,0,0,1.00,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
